L T mean_abs_M naive_se block50_se ratio tau_int honest_se
32 1.50 0.986196 9.0355001e-05 0.00017935059 1.985 1.785 0.00017070811
32 1.60 0.979689 0.00011607484 0.00022326061 1.923 1.863 0.00022403499
32 1.70 0.970259 0.00015063087 0.00031140079 2.067 2.331 0.0003252603
32 1.80 0.956117 0.00019897392 0.00052105036 2.619 3.133 0.00049806041
32 1.90 0.937580 0.00026618984 0.0008562787 3.217 4.617 0.00080891784
32 2.00 0.911105 8.7188677e-05 0.0004081318 4.681 10.406 0.00039776283
32 2.05 0.893105 0.00010470345 0.00042124942 4.023 10.308 0.00047541059
32 2.10 0.868756 0.00013788255 0.000847891 6.149 19.283 0.00085626212
32 2.15 0.836084 0.00018741041 0.0014465223 7.718 31.906 0.0014970713
32 2.20 0.778121 0.0003488475 0.0050014479 14.337 118.098 0.0053613238
32 2.25 0.702476 0.00045464334 0.0069260186 15.234 132.316 0.007395903
32 2.30 0.568975 0.00065362991 0.010737705 16.428 149.939 0.011318911
32 2.35 0.428396 0.00067739405 0.0095707462 14.129 123.330 0.010638766
32 2.40 0.311051 0.00059808741 0.0067951066 11.361 77.857 0.0074632728
32 2.45 0.253852 0.0005300489 0.0055240473 10.422 69.980 0.0062707285
32 2.50 0.203024 0.00044700656 0.0036347992 8.131 41.737 0.0040840463
32 2.55 0.166274 0.00038119163 0.0031127112 8.166 30.213 0.0029631492
32 2.60 0.154170 0.00035056242 0.0028054404 8.003 22.893 0.002372079
32 2.70 0.118683 0.0012462647 0.0053855245 4.321 13.638 0.0065088181
32 2.80 0.112005 0.0011654953 0.0048097878 4.127 9.583 0.0051024097
32 2.90 0.104459 0.0010621336 0.0038419258 3.617 7.219 0.0040359664
32 3.00 0.084706 0.00090046252 0.0029143802 3.237 5.431 0.0029676019
32 3.10 0.080985 0.00088654615 0.0024345523 2.746 5.286 0.002882445
32 3.20 0.075084 0.0008056883 0.0024023523 2.982 4.572 0.002436447
32 3.30 0.069198 0.0007218385 0.0016459094 2.280 3.074 0.0017898886
32 3.40 0.061635 0.00067562154 0.0014872425 2.201 2.773 0.0015910848
32 3.50 0.063259 0.0006926213 0.002100513 3.033 3.826 0.0019159207
64 1.50 0.986412 4.5116487e-05 9.5151504e-05 2.109 2.103 9.2530877e-05
64 1.60 0.979557 5.8660269e-05 0.00010252407 1.748 1.919 0.00011491692
64 1.70 0.970253 7.4339548e-05 0.00012744443 1.714 2.326 0.00016032998
64 1.80 0.957200 9.8688639e-05 0.00021574664 2.186 2.763 0.00023197194
64 1.90 0.938112 0.00013939794 0.00042200695 3.027 5.575 0.00046548913
64 2.00 0.911062 4.475318e-05 0.00022207591 4.962 10.913 0.00020908065
64 2.05 0.892992 5.2120909e-05 0.00027946731 5.362 10.983 0.00024427742
64 2.10 0.868582 6.838934e-05 0.00037790623 5.526 20.057 0.00043315133
64 2.15 0.837314 9.1918552e-05 0.00076772305 8.352 38.770 0.0008094038
64 2.20 0.783167 0.00017663805 0.0032822556 18.582 213.974 0.0036540981
64 2.25 0.688645 0.00028166454 0.0052870586 18.771 219.479 0.0059012422
64 2.30 0.463053 0.0005820785 0.017557409 30.163 580.379 0.019831356
64 2.35 0.245589 0.00048852222 0.012058274 24.683 330.609 0.012561938
64 2.40 0.153174 0.00034761294 0.0059637896 17.156 141.260 0.005842797
64 2.45 0.124908 0.00028901514 0.0040815244 14.122 89.633 0.003869632
64 2.50 0.095829 0.00022495768 0.0023880483 10.616 49.853 0.0022462691
64 2.55 0.085497 0.000199452 0.0017160575 8.604 32.401 0.0016055848
64 2.60 0.075942 0.00018144955 0.0014163706 7.806 25.772 0.0013026972
64 2.70 0.058234 0.00062629229 0.0026286598 4.197 9.600 0.0027442063
64 2.80 0.052978 0.00054851946 0.0022579733 4.116 9.900 0.0024407464
64 2.90 0.045892 0.00047658872 0.0014541825 3.051 7.269 0.0018171201
64 3.00 0.041882 0.00045102492 0.0013086879 2.902 5.226 0.0014581286
64 3.10 0.040075 0.00042209433 0.0013561171 3.213 5.757 0.0014323244
64 3.20 0.037127 0.00038325739 0.0010258625 2.677 4.077 0.0010944174
64 3.30 0.035145 0.00036656289 0.001105096 3.015 4.314 0.0010767356
64 3.40 0.032082 0.00034066287 0.00085341526 2.505 3.134 0.0008528329
64 3.50 0.029917 0.00032557398 0.00068693839 2.110 2.589 0.00074086773
